run,#events(MeV),Ps(mJ/Pulse),Lon-Loff,err,Loff,err,(Lon-Loff)/Loff,err
113214,12.5,66.57,5.592,0.06,16.605,0.042,33.68,0.37
113215,11.2,63.98,5.87,0.063,16.557,0.044,35.45,0.39
113216,12.4,56.359,5.74,0.06,16.548,0.042,34.69,0.37
113217,13.6,45.02,5.56,0.057,16.512,0.04,33.67,0.35
113218,19.2,38.55,5.213,0.048,16.43,0.034,31.73,0.30
113219,11.6,33.03,5.132,0.062,16.457,0.044,31.18,0.39
113220,24.4,23.34,4.766,0.043,16.535,0.03,28.82,0.27
113221,17.5,17.48,4.409,0.05,16.501,0.036,26.72,0.31
113222,13.7,15.64,4.167,0.057,16.478,0.04,25.29,0.35
113223,13.8,9.44,3.816,0.057,16.515,0.04,23.11,0.35
113224,13.7,7.05,3.524,0.057,16.618,0.04,21.21,0.35
113225,14.5,5.2,3.039,0.055,16.532,0.039,18.38,0.34
113226,14.3,3.52,2.513,0.056,16.613,0.039,15.13,0.34
113227,24.8,3.16,1.834,0.042,16.536,0.03,11.09,0.25
113228,19.1,2.04,1.257,0.048,16.531,0.034,7.60,0.29
113229,12.3,1.48,0.957,0.06,16.496,0.042,5.80,0.36
113230,14.7,1.15,0.744,0.055,16.518,0.039,4.50,0.33
113231,14.9,0.487,0.3,0.054,16.541,0.038,1.81,0.33
